time,hour,distance,is_blocked,is_raining,rain_rate,snr_140ghz,rsrp_140ghz,rain_loss_140ghz,atm_loss_140ghz,fog_loss_140ghz,beam_loss_140ghz,snr_220ghz,rsrp_220ghz,rain_loss_220ghz,atm_loss_220ghz,fog_loss_220ghz,beam_loss_220ghz,snr_degradation,outage_140ghz,outage_220ghz
2026-01-12 11:12:12.933114,11,113.95,False,False,0,54.57,-17.43,0.0,0.05,0,0.0,45.12,-19.37,0.0,0.25,0,1.0,9.450000000000003,False,False
2026-01-12 11:13:12.933114,11,122.85,False,False,0,51.15,-20.85,0.0,0.05,0,0.93,36.95,-27.54,0.0,0.26,0,0.0,14.199999999999996,False,False
2026-01-12 11:14:12.933114,11,132.16,False,False,0,52.3,-19.7,0.0,0.05,0,0.33,42.59,-21.9,0.0,0.28,0,1.8,9.709999999999994,False,False
2026-01-12 11:15:12.933114,11,141.8,False,False,0,51.64,-20.36,0.0,0.06,0,0.07,43.1,-21.39,0.0,0.3,0,2.28,8.54,False,False
2026-01-12 11:16:12.933114,11,151.72,False,False,0,49.99,-22.01,0.0,0.06,0,1.06,44.52,-19.97,0.0,0.32,0,0.79,5.469999999999999,False,False
2026-01-12 11:17:12.933114,11,161.86,False,False,0,47.93,-24.07,0.0,0.06,0,2.53,42.96,-21.53,0.0,0.34,0,0.36,4.969999999999999,False,False
2026-01-12 11:18:12.933114,11,172.17,False,False,0,50.41,-21.59,0.0,0.07,0,0.29,42.24,-22.25,0.0,0.37,0,0.74,8.169999999999995,False,False
2026-01-12 11:19:12.933114,11,182.64,False,False,0,47.76,-24.24,0.0,0.07,0,2.02,42.73,-21.76,0.0,0.39,0,0.52,5.030000000000001,False,False
2026-01-12 11:20:12.933114,11,193.24,False,False,0,49.5,-22.5,0.0,0.08,0,0.48,41.17,-23.32,0.0,0.4,0,1.68,8.329999999999998,False,False
2026-01-12 11:21:12.933114,11,200.0,False,False,0,48.24,-23.76,0.0,0.08,0,0.69,43.02,-21.47,0.0,0.4,0,0.0,5.219999999999999,False,False
2026-01-12 11:22:12.933114,11,200.0,False,False,0,48.13,-23.87,0.0,0.08,0,0.19,42.65,-21.84,0.0,0.4,0,0.2,5.480000000000004,False,False
2026-01-12 11:23:12.933114,11,200.0,False,False,0,47.14,-24.86,0.0,0.08,0,2.61,42.24,-22.25,0.0,0.4,0,0.09,4.899999999999999,False,False
2026-01-12 11:24:12.933114,11,200.0,False,False,0,48.2,-23.8,0.0,0.08,0,0.44,42.17,-22.32,0.0,0.4,0,0.87,6.030000000000001,False,False
