time,hour,distance,is_blocked,is_raining,rain_rate,snr_140ghz,rsrp_140ghz,rain_loss_140ghz,atm_loss_140ghz,fog_loss_140ghz,beam_loss_140ghz,snr_220ghz,rsrp_220ghz,rain_loss_220ghz,atm_loss_220ghz,fog_loss_220ghz,beam_loss_220ghz,snr_degradation,outage_140ghz,outage_220ghz
2026-01-12 10:29:24.909519,10,53.05,False,False,0,62.79,-9.9,0,0.01,0,0.19,56.98,-8.23,0,0.05,0,0.01,5.810000000000002,False,False
2026-01-12 10:30:24.909519,10,50.0,False,False,0,63.37,-9.33,0,0.01,0,0.12,57.05,-8.16,0,0.05,0,0.01,6.32,False,False
2026-01-12 10:31:24.909519,10,50.0,False,False,0,63.05,-9.65,0,0.01,0,0.12,56.14,-9.07,0,0.05,0,0.01,6.909999999999997,False,False
2026-01-12 10:32:24.909519,10,50.0,False,False,0,57.2,-15.5,0,0.01,0,0.0,56.51,-8.69,0,0.05,0,0.01,0.6900000000000048,False,False
2026-01-12 10:33:24.909519,10,50.0,False,False,0,63.6,-9.1,0,0.01,0,0.14,56.86,-8.35,0,0.05,0,0.14,6.740000000000002,False,False
2026-01-12 10:34:24.909519,10,50.0,False,False,0,62.35,-10.34,0,0.01,0,0.01,56.2,-9.0,0,0.05,0,0.6,6.149999999999999,False,False
2026-01-12 10:35:24.909519,10,50.0,False,False,0,63.17,-9.53,0,0.01,0,0.17,56.45,-8.76,0,0.05,0,0.03,6.719999999999999,False,False
2026-01-12 10:36:24.909519,10,53.85,False,False,0,62.57,-10.12,0,0.01,0,0.03,54.54,-10.66,0,0.06,0,0.51,8.030000000000001,False,False
2026-01-12 10:37:24.909519,10,61.76,False,False,0,61.61,-11.09,0,0.01,0,0.07,52.65,-12.55,0,0.07,0,1.07,8.96,False,False
2026-01-12 10:38:24.909519,10,72.4,False,False,0,59.47,-13.22,0,0.01,0,0.01,52.32,-12.88,0,0.08,0,0.01,7.149999999999999,False,False
2026-01-12 10:39:24.909519,10,84.75,False,False,0,58.55,-14.15,0,0.02,0,0.02,50.73,-14.48,0,0.1,0,0.4,7.82,False,False
2026-01-12 10:40:24.909519,10,98.18,False,False,0,47.57,-25.12,0,0.02,0,0.0,34.85,-30.36,0,0.11,0,0.0,12.719999999999999,False,False
2026-01-12 10:41:24.909519,10,112.28,False,False,0,56.37,-16.33,0,0.02,0,0.01,48.05,-17.16,0,0.13,0,0.36,8.32,False,False
2026-01-12 10:42:24.909519,10,126.85,False,False,0,54.71,-17.99,0,0.03,0,0.32,46.34,-18.87,0,0.14,0,1.09,8.369999999999997,False,False
2026-01-12 10:43:24.909519,10,141.73,False,False,0,54.14,-18.55,0,0.03,0,0.01,46.63,-18.58,0,0.16,0,0.09,7.509999999999998,False,False
2026-01-12 10:44:24.909519,10,156.84,False,False,0,52.88,-19.81,0,0.03,0,0.0,45.27,-19.94,0,0.17,0,1.09,7.609999999999999,False,False
2026-01-12 10:45:24.909519,10,172.11,False,False,0,52.73,-19.97,0,0.03,0,0.03,44.56,-20.65,0,0.19,0,1.0,8.169999999999995,False,False
2026-01-12 10:46:24.909519,10,187.51,False,False,0,51.85,-20.84,0,0.04,0,0.21,44.33,-20.88,0,0.2,0,0.07,7.520000000000003,False,False
2026-01-12 10:47:24.909519,10,200.0,False,False,0,51.19,-21.5,0,0.04,0,0.03,44.14,-21.07,0,0.2,0,0.53,7.049999999999997,False,False
2026-01-12 10:48:24.909519,10,200.0,False,False,0,51.26,-21.43,0,0.04,0,0.0,45.03,-20.18,0,0.2,0,0.05,6.229999999999997,False,False
2026-01-12 10:49:24.909519,10,200.0,False,False,0,50.9,-21.8,0,0.04,0,0.18,44.74,-20.47,0,0.2,0,0.06,6.159999999999997,False,False
2026-01-12 10:50:24.909519,10,200.0,False,False,0,51.34,-21.35,0,0.04,0,0.08,44.52,-20.68,0,0.2,0,0.07,6.82,False,False
2026-01-12 10:51:24.909519,10,200.0,False,False,0,51.11,-21.58,0,0.04,0,0.02,44.18,-21.02,0,0.2,0,0.16,6.93,False,False
2026-01-12 10:52:24.909519,10,200.0,False,False,0,50.29,-22.41,0,0.04,0,0.19,43.13,-22.08,0,0.2,0,1.38,7.159999999999997,False,False
2026-01-12 10:53:24.909519,10,200.0,False,False,0,51.44,-21.25,0,0.04,0,0.14,44.42,-20.78,0,0.2,0,0.26,7.019999999999996,False,False
2026-01-12 10:54:24.909519,10,200.0,False,False,0,51.48,-21.22,0,0.04,0,0.0,34.73,-30.48,0,0.2,0,0.0,16.75,False,False
2026-01-12 10:55:24.909519,10,200.0,False,False,0,51.09,-21.6,0,0.04,0,0.0,44.7,-20.5,0,0.2,0,0.09,6.390000000000001,False,False
2026-01-12 10:56:24.909519,10,200.0,False,False,0,51.55,-21.15,0,0.04,0,0.02,44.22,-20.98,0,0.2,0,0.39,7.329999999999998,False,False
2026-01-12 10:57:24.909519,10,200.0,False,False,0,51.34,-21.35,0,0.04,0,0.03,44.43,-20.77,0,0.2,0,0.0,6.910000000000004,False,False
2026-01-12 10:58:24.909519,10,200.0,False,False,0,51.61,-21.08,0,0.04,0,0.06,44.03,-21.18,0,0.2,0,0.66,7.579999999999998,False,False
2026-01-12 10:59:24.909519,10,200.0,False,False,0,51.01,-21.68,0,0.04,0,0.0,44.77,-20.44,0,0.2,0,0.02,6.239999999999995,False,False
2026-01-12 11:00:24.909519,11,200.0,False,False,0,51.3,-21.4,0,0.04,0,0.02,44.73,-20.48,0,0.2,0,0.07,6.57,False,False
2026-01-12 11:01:24.909519,11,200.0,False,False,0,51.23,-21.46,0,0.04,0,0.0,44.97,-20.24,0,0.2,0,0.0,6.259999999999998,False,False
2026-01-12 11:02:24.909519,11,200.0,False,False,0,50.87,-21.82,0,0.04,0,0.01,44.82,-20.39,0,0.2,0,0.12,6.049999999999997,False,False
2026-01-12 11:03:24.909519,11,200.0,False,False,0,51.19,-21.5,0,0.04,0,0.02,43.8,-21.4,0,0.2,0,0.53,7.390000000000001,False,False
2026-01-12 11:04:24.909519,11,200.0,False,False,0,50.67,-22.02,0,0.04,0,0.14,44.1,-21.11,0,0.2,0,0.52,6.57,False,False
2026-01-12 11:05:24.909519,11,200.0,False,False,0,51.24,-21.46,0,0.04,0,0.01,43.19,-22.02,0,0.2,0,1.04,8.050000000000004,False,False
2026-01-12 11:06:24.909519,11,200.0,False,False,0,50.72,-21.98,0,0.04,0,0.08,44.21,-21.0,0,0.2,0,0.02,6.509999999999998,False,False
2026-01-12 11:07:24.909519,11,200.0,False,False,0,50.9,-21.8,0,0.04,0,0.04,43.88,-21.33,0,0.2,0,0.43,7.019999999999996,False,False
2026-01-12 11:08:24.909519,11,200.0,False,False,0,51.05,-21.65,0,0.04,0,0.05,44.71,-20.49,0,0.2,0,0.08,6.339999999999996,False,False
2026-01-12 11:09:24.909519,11,200.0,False,False,0,50.93,-21.77,0,0.04,0,0.14,44.19,-21.02,0,0.2,0,0.21,6.740000000000002,False,False
2026-01-12 11:10:24.909519,11,200.0,False,False,0,51.11,-21.59,0,0.04,0,0.09,44.4,-20.81,0,0.2,0,0.29,6.710000000000001,False,False
2026-01-12 11:11:24.909519,11,200.0,False,False,0,51.16,-21.53,0,0.04,0,0.01,44.31,-20.9,0,0.2,0,0.28,6.849999999999994,False,False
2026-01-12 11:12:24.909519,11,200.0,False,False,0,50.79,-21.91,0,0.04,0,0.36,44.78,-20.42,0,0.2,0,0.01,6.009999999999998,False,False
2026-01-12 11:13:24.909519,11,200.0,False,False,0,50.86,-21.84,0,0.04,0,0.02,44.68,-20.52,0,0.2,0,0.02,6.18,False,False
2026-01-12 11:14:24.909519,11,200.0,False,False,0,50.92,-21.78,0,0.04,0,0.0,44.75,-20.46,0,0.2,0,0.04,6.170000000000002,False,False
2026-01-12 11:15:24.909519,11,200.0,False,False,0,50.48,-22.22,0,0.04,0,0.01,44.76,-20.44,0,0.2,0,0.22,5.719999999999999,False,False
2026-01-12 11:16:24.909519,11,200.0,False,False,0,51.29,-21.4,0,0.04,0,0.11,43.3,-21.9,0,0.2,0,0.96,7.990000000000002,False,False
2026-01-12 11:17:24.909519,11,200.0,False,False,0,44.84,-27.85,0,0.04,0,0.0,44.25,-20.96,0,0.2,0,0.0,0.5900000000000034,False,False
2026-01-12 11:18:24.909519,11,200.0,False,False,0,51.46,-21.24,0,0.04,0,0.05,44.69,-20.51,0,0.2,0,0.07,6.770000000000003,False,False
2026-01-12 11:19:24.909519,11,200.0,False,False,0,51.14,-21.56,0,0.04,0,0.06,44.3,-20.91,0,0.2,0,0.75,6.840000000000003,False,False
2026-01-12 11:20:24.909519,11,200.0,False,False,0,50.97,-21.72,0,0.04,0,0.04,38.45,-26.76,0,0.2,0,0.0,12.519999999999996,False,False
2026-01-12 11:21:24.909519,11,200.0,False,False,0,50.85,-21.85,0,0.04,0,0.05,44.07,-21.14,0,0.2,0,0.3,6.780000000000001,False,False
2026-01-12 11:22:24.909519,11,200.0,False,False,0,51.47,-21.23,0,0.04,0,0.13,44.28,-20.93,0,0.2,0,0.01,7.189999999999998,False,False
2026-01-12 11:23:24.909519,11,200.0,False,False,0,51.06,-21.63,0,0.04,0,0.0,44.3,-20.9,0,0.2,0,0.24,6.760000000000005,False,False
2026-01-12 11:24:24.909519,11,200.0,False,False,0,51.25,-21.45,0,0.04,0,0.04,44.52,-20.69,0,0.2,0,0.2,6.729999999999997,False,False
2026-01-12 11:25:24.909519,11,200.0,False,False,0,51.13,-21.56,0,0.04,0,0.01,44.07,-21.13,0,0.2,0,0.49,7.060000000000002,False,False
2026-01-12 11:26:24.909519,11,200.0,False,False,0,50.51,-22.18,0,0.04,0,0.1,44.37,-20.83,0,0.2,0,0.34,6.140000000000001,False,False
2026-01-12 11:27:24.909519,11,200.0,False,False,0,51.47,-21.22,0,0.04,0,0.01,44.76,-20.45,0,0.2,0,0.0,6.710000000000001,False,False
2026-01-12 11:28:24.909519,11,200.0,False,False,0,50.45,-22.25,0,0.04,0,0.15,44.52,-20.68,0,0.2,0,0.12,5.93,False,False
2026-01-12 11:29:24.909519,11,200.0,False,False,0,50.94,-21.76,0,0.04,0,0.18,44.93,-20.28,0,0.2,0,0.02,6.009999999999998,False,False
2026-01-12 11:30:24.909519,11,200.0,False,False,0,51.13,-21.57,0,0.04,0,0.07,38.69,-26.52,0,0.2,0,0.0,12.440000000000005,False,False
2026-01-12 11:31:24.909519,11,200.0,False,False,0,51.1,-21.59,0,0.04,0,0.0,44.28,-20.93,0,0.2,0,0.49,6.82,False,False
2026-01-12 11:32:24.909519,11,200.0,False,False,0,51.06,-21.64,0,0.04,0,0.0,44.8,-20.4,0,0.2,0,0.26,6.260000000000005,False,False
2026-01-12 11:33:24.909519,11,200.0,False,False,0,51.1,-21.59,0,0.04,0,0.03,44.34,-20.87,0,0.2,0,0.0,6.759999999999998,False,False
2026-01-12 11:34:24.909519,11,200.0,False,False,0,51.24,-21.45,0,0.04,0,0.05,44.88,-20.32,0,0.2,0,0.01,6.359999999999999,False,False
2026-01-12 11:35:24.909519,11,200.0,False,False,0,50.92,-21.78,0,0.04,0,0.06,44.8,-20.41,0,0.2,0,0.11,6.1200000000000045,False,False
2026-01-12 11:36:24.909519,11,200.0,False,False,0,51.11,-21.59,0,0.04,0,0.14,43.86,-21.34,0,0.2,0,0.13,7.25,False,False
2026-01-12 11:37:24.909519,11,200.0,False,False,0,51.2,-21.49,0,0.04,0,0.02,44.78,-20.43,0,0.2,0,0.05,6.420000000000002,False,False
2026-01-12 11:38:24.909519,11,200.0,False,False,0,50.87,-21.82,0,0.04,0,0.03,43.49,-21.71,0,0.2,0,1.0,7.3799999999999955,False,False
2026-01-12 11:39:24.909519,11,200.0,False,False,0,45.19,-27.5,0,0.04,0,0.0,44.11,-21.09,0,0.2,0,0.54,1.0799999999999983,False,False
2026-01-12 11:40:24.909519,11,200.0,False,False,0,51.28,-21.42,0,0.04,0,0.09,42.21,-22.99,0,0.2,0,1.47,9.07,False,False
2026-01-12 11:41:24.909519,11,200.0,False,False,0,51.17,-21.53,0,0.04,0,0.17,44.49,-20.72,0,0.2,0,0.0,6.68,False,False
2026-01-12 11:42:24.909519,11,200.0,False,False,0,51.57,-21.12,0,0.04,0,0.02,44.64,-20.56,0,0.2,0,0.0,6.93,False,False
2026-01-12 11:43:24.909519,11,200.0,False,False,0,50.87,-21.82,0,0.04,0,0.25,44.73,-20.48,0,0.2,0,0.01,6.140000000000001,False,False
2026-01-12 11:44:24.909519,11,200.0,False,False,0,51.28,-21.41,0,0.04,0,0.2,42.41,-22.79,0,0.2,0,1.63,8.870000000000005,False,False
2026-01-12 11:45:24.909519,11,200.0,False,False,0,51.13,-21.56,0,0.04,0,0.01,44.39,-20.82,0,0.2,0,0.07,6.740000000000002,False,False
2026-01-12 11:46:24.909519,11,200.0,False,False,0,36.35,-36.35,0,0.04,0,0.0,44.86,-20.35,0,0.2,0,0.01,-8.509999999999998,False,False
2026-01-12 11:47:24.909519,11,200.0,False,False,0,50.81,-21.89,0,0.04,0,0.01,44.8,-20.41,0,0.2,0,0.04,6.010000000000005,False,False
2026-01-12 11:48:24.909519,11,200.0,False,False,0,51.01,-21.69,0,0.04,0,0.11,44.76,-20.45,0,0.2,0,0.1,6.25,False,False
2026-01-12 11:49:24.909519,11,200.0,False,False,0,51.56,-21.13,0,0.04,0,0.01,44.59,-20.61,0,0.2,0,0.28,6.969999999999999,False,False
