time_min,day,distance_m,snr_db,path_loss_db,rsrp_dbm,noise_dbm,channel_state,blockage_loss_db,beamwidth_deg,temperature_c,humidity_percent,is_raining,rain_rate,fog_visibility_m,path_loss_anomaly,excess_loss_db,fading_gain,snr_mean_10,snr_std_10,ccs
1540,1,174.58752650820426,33.47645191854558,134.96246581226166,-31.013246903706104,-64.48969882225168,LOS,0.0,0.6977068331498617,26.063531241778115,86.9530400942959,True,40.0,226.41733646348248,False,0.0,0.7850944203627466,41.015587893325275,3.6934569689936634,2.0
1545,1,151.19643266811735,42.22855609981155,127.092040426206,-22.26114272244013,-64.48969882225168,LOS,0.0,0.6977068331498617,24.771806700941628,85.87675491065755,True,10.0,183.7124456719721,False,0.0,0.961811067966216,40.80913024949951,3.2200662647360274,2.0
1549,1,131.7976325019254,45.39026882573867,123.60212880295956,-19.09942999651301,-64.48969882225168,LOS,0.0,0.6977068331498617,24.17386735356316,85.10646771699693,True,5.0,202.85532817893156,False,0.0,0.8918049542198917,41.0707946664743,3.7583792687658866,2.0
1553,1,112.1574909600071,46.33620039933172,122.32287791760363,-18.15349842291997,-64.48969882225168,LOS,0.0,0.6977068331498617,25.48389301853408,85.79460329238857,True,10.0,59.38053124121366,False,0.0,0.8259199364902508,43.58639956211648,2.755589800449036,2.0
1555,1,103.52803435111964,48.4641560984489,121.51301546187251,-16.02554272380278,-64.48969882225168,LOS,0.0,0.6977068331498617,24.12803610342671,85.57101714346906,True,10.0,238.12948447558472,False,0.0,1.1187866456872615,44.68832830133711,2.8563201263183373,1.0
1557,1,94.9824664616728,45.14028186205135,123.92564583866336,-19.34941696020033,-64.48969882225168,LOS,0.0,0.6977068331498617,23.753023631283924,85.93454491688318,True,40.0,203.02940602698635,False,0.0,0.907032581964152,45.36600838085866,2.33148004014602,1.0
1559,1,85.99623632954751,46.10521295804738,120.37413220976336,-18.3844858642043,-64.48969882225168,LOS,0.0,0.6977068331498617,24.388450687542164,85.5658566287255,True,20.0,120.788079920607,False,0.0,0.4999938178503991,45.70356474411637,2.3959716772419126,1.0
1574,1,75.31518009587005,49.85559557327125,119.78144794395148,-14.634103248980432,-64.48969882225168,LOS,0.0,0.6977068331498617,23.68973460830849,87.56603302279218,True,40.0,277.7976953376577,False,0.0,1.0345094673877462,52.72630022174874,3.3052673645331248,0.0
1577,1,86.98041482461456,44.87793399548078,123.50348674896276,-19.6117648267709,-64.48969882225168,LOS,0.0,0.6977068331498617,24.42468533339056,85.91925180741165,True,10.0,262.97573643681505,False,0.0,0.774768922902479,49.77150796068656,3.871106490009784,0.0
1582,1,106.6397681764482,42.00322165304405,128.92131816528646,-22.48647716920764,-64.48969882225168,LOS,0.0,0.6977068331498617,24.60087874850727,88.30433964593544,True,20.0,296.86353049858144,False,0.0,1.3915028482016127,45.32472315984153,2.7228156431641772,1.0
