time_min,day,distance_m,snr_db,path_loss_db,rsrp_dbm,noise_dbm,channel_state,blockage_loss_db,beamwidth_deg,temperature_c,humidity_percent,is_raining,rain_rate,fog_visibility_m,path_loss_anomaly,excess_loss_db,fading_gain
0,0,94.84000805716381,54.351255111054996,115.13346608359389,-17.648738005846777,-71.99999311690178,LOS,0.0,1.240717695633861,24.657145080387146,85.25547972548277,False,0.0,,False,0.0,0.5603673303152631
1,0,89.31685085054937,56.103818900830404,114.68270394855875,-15.896174216071374,-71.99999311690178,LOS,0.0,1.240717695633861,23.55276746591058,80.63781630299722,False,0.0,,False,0.0,0.7562283827215819
2,0,84.14583643333981,57.96134183331333,113.90889857395668,-14.03865128358845,-71.99999311690178,LOS,0.0,1.240717695633861,24.107638956023177,79.5230798551764,False,0.0,,False,0.0,0.9705652303469379
3,0,78.85115286402305,58.62050348608394,113.50606604342184,-13.379489630817838,-71.99999311690178,LOS,0.0,1.240717695633861,24.458972338666616,82.44082694976261,False,0.0,,False,0.0,1.02957417669858
4,0,73.56981784600697,57.572976378566,114.02484305234874,-14.42701673833578,-71.99999311690178,LOS,0.0,1.240717695633861,22.92880255252863,82.1420794946128,False,0.0,,False,0.0,0.9115544833036534
5,0,68.4091854862897,60.90034185960307,112.16984707151421,-11.09965125729871,-71.99999311690178,LOS,0.0,1.240717695633861,23.261436944834408,82.03862793614611,False,0.0,,False,0.0,1.2794389900606753
6,0,63.69041597239402,60.41924098933889,112.140755104716,-11.580752127562892,-71.99999311690178,LOS,0.0,1.240717695633861,23.21457411208935,79.29509805065403,False,0.0,,False,0.0,1.1376280656840831
7,0,59.212678104933914,55.115394568145675,110.93675697103218,-16.8845985487561,-71.99999311690178,LOS,0.0,1.240717695633861,23.794477604200157,81.77533886950438,False,0.0,,False,0.0,0.2542235870389712
8,0,54.79480001262445,62.201259080418225,110.173316061617,-9.798734036483554,-71.99999311690178,LOS,0.0,1.240717695633861,24.00868120883444,78.99196319221306,False,0.0,,False,0.0,1.090079575603988
9,0,50.37976844501385,62.37454109735475,110.02279224414653,-9.625452019547025,-71.99999311690178,LOS,0.0,1.240717695633861,23.027415127210233,76.69466014624494,False,0.0,,False,0.0,1.0958068791020152
10,0,54.393210523690065,60.839356412701726,110.31422270800377,-11.160636704200053,-71.99999311690178,LOS,0.0,1.240717695633861,24.389948396605377,87.66166488482841,False,0.0,,False,0.0,0.8229218625677995
