time_min,day,distance_m,snr_db,path_loss_db,rsrp_dbm,noise_dbm,channel_state,blockage_loss_db,beamwidth_deg,temperature_c,humidity_percent,is_raining,rain_rate,fog_visibility_m,path_loss_anomaly,excess_loss_db,fading_gain
0,0,105.96418303260816,47.081313805909886,120.90042856349254,-17.4083850163418,-64.48969882225168,LOS,0.0,0.6977068331498617,23.8770093242744,90.0,False,0.0,,False,0.0,0.7066499860411815
1,0,111.90704021654463,46.624832323127734,122.51812661763691,-17.864866499123952,-64.48969882225168,LOS,0.0,0.6977068331498617,23.13529095566689,83.09878547138446,False,0.0,,False,0.0,0.9232642338767658
2,0,117.81172604228357,45.687931637016874,122.14879083031191,-18.80176718523481,-64.48969882225168,LOS,0.0,0.6977068331498617,24.547432518982017,77.74906355658453,False,0.0,,False,0.0,0.6834431019683327
3,0,123.73599495021014,46.88297577873881,121.96831737186322,-17.606723043512872,-64.48969882225168,LOS,0.0,0.6977068331498617,24.692374912449118,77.97963597550735,False,0.0,,False,0.0,0.8632954119683651
4,0,129.67968438439354,45.895687726594105,122.80637751040396,-18.594011095657578,-64.48969882225168,LOS,0.0,0.6977068331498617,25.436439588409574,83.59189473828161,False,0.0,,False,0.0,0.8341355705525105
5,0,135.61800709435428,40.96542711242494,130.2931351521928,-23.524271709826742,-64.48969882225168,LOS,0.0,0.6977068331498617,22.802569804292034,75.89316966083413,False,0.0,,False,0.0,1.5027486422002994
6,0,141.51635795700324,41.24822759350856,129.09283451065838,-23.241471228743123,-64.48969882225168,LOS,0.0,0.6977068331498617,24.355961409888973,80.59006191778987,False,0.0,,False,0.0,1.216567830189778
7,0,147.33608931056784,44.38398451060336,124.71854793253242,-20.10571431164832,-64.48969882225168,LOS,0.0,0.6977068331498617,24.46199791835475,82.67748066911756,False,0.0,,False,0.0,0.9147098632758479
8,0,153.1552166074495,45.705818939178165,123.61443802805321,-18.783879883073517,-64.48969882225168,LOS,0.0,0.6977068331498617,23.814691512391715,87.05303677045157,False,0.0,,False,0.0,0.9617358704573319
9,0,159.0187995785202,47.08852791034662,123.64693811262975,-17.401170911905062,-64.48969882225168,LOS,0.0,0.6977068331498617,23.60564765677932,76.58540530561538,False,0.0,,False,0.0,1.3322223645964941
10,0,164.8893847237057,44.03425924826274,124.32808439327813,-20.455439573988944,-64.48969882225168,LOS,0.0,0.6977068331498617,24.738171203656627,79.78898780706882,False,0.0,,False,0.0,0.7713730862051662
11,0,170.80622551068313,44.27155774739126,124.82225056128028,-20.21814107486042,-64.48969882225168,LOS,0.0,0.6977068331498617,23.19702416757441,77.29771868143962,False,0.0,,False,0.0,0.9128742327646019
12,0,176.76801770128344,44.48341778332741,124.69851808560882,-20.00628103892427,-64.48969882225168,LOS,0.0,0.6977068331498617,24.802544647565238,81.85361999892231,False,0.0,,False,0.0,0.9315876117810449
13,0,182.74197623906318,45.50803023731226,124.93878838681675,-18.98166858493942,-64.48969882225168,LOS,0.0,0.6977068331498617,24.120907324840008,86.55505559079538,False,0.0,,False,0.0,1.2465565360648887
14,0,188.71086936850566,45.14354063363744,125.56909806263617,-19.34615818861424,-64.48969882225168,LOS,0.0,0.6977068331498617,25.234937314974417,76.1292030410693,False,0.0,,False,0.0,1.3252383265461212
