time_min,day,distance_m,snr_db,path_loss_db,rsrp_dbm,noise_dbm,channel_state,blockage_loss_db,beamwidth_deg,temperature_c,humidity_percent,is_raining,rain_rate,fog_visibility_m,path_loss_anomaly,excess_loss_db,fading_gain
0,0,103.7952859748441,54.952734212589405,116.06408802348732,-17.047258904312372,-71.99999311690178,LOS,0.0,1.240717695633861,23.823503048849236,85.14775794658456,False,0.0,,False,0.0,0.7974122662031243
1,0,107.8737558302851,56.17893343792975,116.33005809314987,-15.821059678972029,-71.99999311690178,LOS,0.0,1.240717695633861,23.651550009549055,78.79281862896491,False,0.0,,False,0.0,1.1243456433586734
2,0,111.83388721467321,55.96608400108659,116.40570305561052,-16.033909115815185,-71.99999311690178,LOS,0.0,1.240717695633861,23.84881925533279,81.78137236308554,False,0.0,,False,0.0,1.0893799904946018
3,0,116.31905273081347,54.852261902263685,116.73956407978892,-17.147731214638092,-71.99999311690178,LOS,0.0,1.240717695633861,24.00311379363366,79.12071148718955,False,0.0,,False,0.0,0.9102973669205634
4,0,120.87479750883426,54.337893000809316,117.49712251328322,-17.66210011609246,-71.99999311690178,LOS,0.0,1.240717695633861,24.64432392400424,88.7592534779577,False,0.0,,False,0.0,0.9627249778716259
5,0,125.97363092441071,55.743409450649416,117.45232665120737,-16.25658366625236,-71.99999311690178,LOS,0.0,1.240717695633861,23.176647398239925,74.37599059791326,False,0.0,,False,0.0,1.316965198023412
6,0,130.8702157360787,55.25985175647291,117.7797904805661,-16.74014136042886,-71.99999311690178,LOS,0.0,1.240717695633861,23.630164483266697,74.91707036370418,False,0.0,,False,0.0,1.2704714557673957
7,0,135.8782592836942,52.98926491017793,118.09508067957746,-19.010728206723847,-71.99999311690178,LOS,0.0,1.240717695633861,23.865013574062584,74.17666499490217,False,0.0,,False,0.0,0.8099071766227405
8,0,140.8298774129295,54.610456426837544,118.43611573365935,-17.38953669006423,-71.99999311690178,LOS,0.0,1.240717695633861,23.354871485327493,79.99320795497293,False,0.0,,False,0.0,1.2725003321221209
9,0,145.76871338402117,51.316155273001904,118.70676358508817,-20.683837843899873,-71.99999311690178,LOS,0.0,1.240717695633861,22.674613725252517,83.7034405373431,False,0.0,,False,0.0,0.6342968784487057
10,0,150.62700196468109,51.90145626545941,119.15453981774769,-20.09853685144237,-71.99999311690178,LOS,0.0,1.240717695633861,23.98973382304239,85.15368354428719,False,0.0,,False,0.0,0.8046375513207721
11,0,155.73674021892262,51.769244145723746,119.49015246177022,-20.230748971178034,-71.99999311690178,LOS,0.0,1.240717695633861,24.022700134007955,85.87209204324583,False,0.0,,False,0.0,0.8432189325369946
12,0,161.10368338001734,48.755801134021084,120.89179424743264,-23.244191982880697,-71.99999311690178,LOS,0.0,1.240717695633861,24.486636393708075,79.65226782011588,False,0.0,,False,0.0,0.5817819278723607
13,0,166.45945135019605,53.989231803242916,120.22231328099443,-18.010761313658858,-71.99999311690178,LOS,0.0,1.240717695633861,24.404381501062765,80.81958627804397,False,0.0,,False,0.0,1.6640071832336656
14,0,171.87607722597133,53.192668676161276,120.46727504437725,-18.8073244407405,-71.99999311690178,LOS,0.0,1.240717695633861,23.920184194929515,85.25219152137082,False,0.0,,False,0.0,1.465531172007803
15,0,177.25821252126448,51.849243394196435,120.42517936867748,-20.150749722705342,-71.99999311690178,LOS,0.0,1.240717695633861,24.159988028509105,79.24642342977094,False,0.0,,False,0.0,1.0652289591674022
16,0,182.78640856685968,49.94236600772888,121.69341338744297,-22.057627109172895,-71.99999311690178,LOS,0.0,1.240717695633861,23.072011949973096,86.18396696508127,False,0.0,,False,0.0,0.9195569430013378
17,0,188.23625729568892,50.11434632291326,121.47334928871123,-21.88564679398851,-71.99999311690178,LOS,0.0,1.240717695633861,24.885318235605663,81.10861954750422,False,0.0,,False,0.0,0.9094320374879112
18,0,193.74151543309912,50.03609982546706,121.5189726098108,-21.96389329143472,-71.99999311690178,LOS,0.0,1.240717695633861,23.968477898391715,80.45350997865128,False,0.0,,False,0.0,0.9026261926424434
19,0,199.32925412739397,46.71345339264495,123.41322724003162,-25.28653972425683,-71.99999311690178,LOS,0.0,1.240717695633861,24.026754404642006,82.86654635045461,False,0.0,,False,0.0,0.649634007492368
20,0,195.1947516135608,51.188475014765594,121.4159209232465,-20.811518102136183,-71.99999311690178,LOS,0.0,1.240717695633861,23.898481328798635,81.87876426770265,False,0.0,,False,0.0,1.1493181949567128
21,0,189.43833061142797,52.31000140096634,121.07622092413834,-19.689991715935435,-71.99999311690178,LOS,0.0,1.240717695633861,24.676575796575253,81.22684172799624,False,0.0,,False,0.0,1.376014216240752
22,0,183.65035528125387,49.285234037402006,121.44061971695143,-22.714759079499768,-71.99999311690178,LOS,0.0,1.240717695633861,22.90029393757415,90.0,False,0.0,,False,0.0,0.7457376395401997
23,0,177.8093301708257,52.097771751846665,120.47422771225798,-19.902221365055112,-71.99999311690178,LOS,0.0,1.240717695633861,24.065503630418213,79.39512598908601,False,0.0,,False,0.0,1.1407766801631356
24,0,171.93483464885176,46.56779164465778,120.4569200903612,-25.432201472243996,-71.99999311690178,LOS,0.0,1.240717695633861,23.20829482407494,71.86658155978259,False,0.0,,False,0.0,0.3180327626405304
25,0,166.06009323464275,51.7262118346885,119.98033372385409,-20.273781282213275,-71.99999311690178,LOS,0.0,1.240717695633861,23.869749008246274,81.48430662342636,False,0.0,,False,0.0,0.9346634160422542
26,0,160.24326023194826,46.82895024394814,120.97812237057336,-25.171042872953635,-71.99999311690178,LOS,0.0,1.240717695633861,23.58938492273656,70.87318512339444,False,0.0,,False,0.0,0.38080965400248745
27,0,154.28026497916738,51.21718561301975,119.20879304944306,-20.782807503882026,-71.99999311690178,LOS,0.0,1.240717695633861,23.23049325429734,83.33329690359126,False,0.0,,False,0.0,0.6959828763506583
28,0,148.33751725629827,50.79485869035145,119.81380876938329,-21.205134426550334,-71.99999311690178,LOS,0.0,1.240717695633861,23.06978337357482,71.84956143707525,False,0.0,,False,0.0,0.7258843518857758
29,0,142.43108711550443,49.80363776063335,118.5113590836733,-22.196355356268427,-71.99999311690178,LOS,0.0,1.240717695633861,23.943598562829344,77.0369832066603,False,0.0,,False,0.0,0.4280557869720694
30,0,136.48177480773742,53.062436105543036,118.39609226013019,-18.93755701135874,-71.99999311690178,LOS,0.0,1.240717695633861,25.402529762614822,85.58874391670312,False,0.0,,False,0.0,0.8827821130142903
