time_min,distance_m,snr_140_db,snr_220_db,snr_gap_db,pl_140_db,pl_220_db,state_140,state_220,is_raining,rain_rate,fog_visibility_m
0,105.59209216654126,56.24416611642259,52.30063368512596,3.9435324312966316,116.10304541701893,119.1897091211924,LOS,LOS,False,0.0,
1,111.1236609197979,54.98896727902792,52.366934276786814,2.6220330022411034,116.71480090590693,118.83770961571602,LOS,LOS,False,0.0,
2,116.63570318511935,55.598887311513934,50.39140751512875,5.207479796385186,116.79083115520478,121.14660383713337,LOS,LOS,False,0.0,
3,122.11435989793618,52.81537831918619,51.46588823007134,1.3494900891148447,117.73745046357162,117.93832959296408,LOS,LOS,False,0.0,
4,127.59214071010832,53.79865750404602,46.11561707085214,7.683040433193881,117.64435370201547,119.81577892602803,LOS,LOS,False,0.0,
5,132.94768754712726,55.010225354340555,47.8899828256489,7.120242528691655,117.96653274564156,120.61472341010236,LOS,LOS,False,0.0,
6,138.29813776321967,52.87821724837324,49.17322281117326,3.7049944371999786,118.28600783170702,118.11920710689546,LOS,LOS,False,0.0,
7,143.85835836507496,55.1117828665796,53.083493501289695,2.0282893652899077,118.79891055628508,115.73802668897159,LOS,LOS,False,0.0,
8,149.47933959824294,50.82527585698565,55.55685029429619,-4.731574437310542,119.03814536337516,115.23564078624273,LOS,LOS,False,0.0,
9,155.2029942861803,52.12148895844369,54.58640507271611,-2.4649161142724196,119.60972060521267,114.24239613345785,LOS,LOS,False,0.0,
10,160.89359259689712,52.37096592123388,53.63784449285026,-1.266878571616381,119.56894972911594,114.87298976376454,LOS,LOS,False,0.0,
11,166.53870163371627,52.4223656184013,55.80580272858546,-3.383437110184161,120.1091581892664,114.22328472229525,LOS,LOS,False,0.0,
12,172.14448855032109,51.87595278306168,53.94138060746423,-2.065427824402555,120.82426328904683,115.32033280832107,LOS,LOS,False,0.0,
13,177.59009345237848,51.51884099281469,54.753744793505156,-3.234903800690468,120.44560861119382,115.88109571091502,LOS,LOS,False,0.0,
14,183.23578135468816,52.79238784174842,53.59517431196367,-0.8027864702152456,120.74208829882247,116.27647205080119,LOS,LOS,False,0.0,
15,188.8785547679667,48.6203433079237,51.74039579569936,-3.1200524877756592,120.97178584571658,118.59565795675309,LOS,LOS,False,0.0,
16,194.57204021450215,48.812139798171074,50.17694290873977,-1.364803110568694,121.5478068877129,118.33399417405028,LOS,LOS,False,0.0,
17,199.65104878198645,49.14963988880642,51.68813483537554,-2.5384949465691236,121.5259901420106,117.92966333874408,LOS,LOS,False,0.0,
18,194.03826017704273,48.975889202723025,52.80113842042097,-3.8252492176979445,121.36059996742915,118.52666655600352,LOS,LOS,False,0.0,
19,188.3504702351042,51.52809849507824,48.902490403600375,2.625608091477865,120.94820672341149,120.4834306124368,LOS,LOS,False,0.0,
20,182.56570973498614,50.62698147802168,49.6159841989579,1.010997279063787,120.77635187977931,119.26488775890877,LOS,LOS,False,0.0,
21,176.78635759973758,51.152360665298815,50.04433966693732,1.1080209983614964,120.52713978303106,120.00212113543911,LOS,LOS,False,0.0,
22,171.07746876890735,51.43465905927714,49.10170881081812,2.3329502484590208,120.37404487010656,120.63390701088666,LOS,LOS,False,0.0,
23,165.42113125582858,52.485354194639044,47.78786711712395,4.697487077515092,119.97308795337332,121.76423416514568,LOS,LOS,False,0.0,
24,159.63592652568136,49.259617957155,37.32096907373905,11.93864888341595,119.63435866566063,130.4960092876941,LOS,LOS,False,0.0,
25,153.81876536326317,54.02339381540145,42.156514619999456,11.866879195401992,119.41530901654149,127.70753484592683,LOS,LOS,False,0.0,
26,147.9884985326191,52.16680978253596,43.917345117903366,8.24946466463259,118.89170904619746,124.08963870611859,LOS,LOS,False,0.0,
27,142.01996352822243,54.527812113143085,45.72537855637339,8.802433556769692,119.11466059509594,126.08690135032737,LOS,LOS,False,0.0,
28,136.15086025726694,53.00391338732838,45.788456482924445,7.215456904403936,118.4840325086621,123.10461809298481,LOS,LOS,False,0.0,
29,130.25940168563687,55.09187603542536,46.48611785665719,8.60575817876817,118.05675920061435,123.00605772855388,LOS,LOS,False,0.0,
30,124.361722440002,53.39703645029383,41.20573036943275,12.191306080861082,117.42614240662999,125.89487866657875,LOS,LOS,False,0.0,
31,118.39906243818854,55.65371290403053,48.35860890290343,7.2951040011271004,116.91730148702997,123.121449759722,LOS,LOS,False,0.0,
32,112.51432298821577,56.506327485322444,45.6546970111855,10.851630474136947,116.4436051436955,123.44291166332867,LOS,LOS,False,0.0,
33,106.57441156645314,56.83599274306886,38.14431266352256,18.691680079546295,115.9683486371813,129.62944051107428,LOS,LOS,False,0.0,
34,100.59920567256366,56.43294529306841,45.094487391865115,11.338457901203292,115.89649609206107,124.06795216080623,LOS,LOS,False,0.0,
35,94.60284267584674,57.937751041313845,44.55965359880278,13.378097442511063,114.983734813836,124.53143135975347,LOS,LOS,False,0.0,
36,88.65664039824726,57.68482094180014,42.00743484006942,15.677386101730718,114.45329333550184,124.57844480418433,LOS,LOS,False,0.0,
37,82.77896230545062,58.31151524265157,45.10512879511258,13.206386447538996,113.87347487072282,124.89862135800074,LOS,LOS,False,0.0,
38,76.88183965479455,59.700421501427954,40.52967141897886,19.170750082449096,113.11981179171131,126.66390797882006,LOS,LOS,False,0.0,
39,70.97057044780654,61.667206022601384,43.59652799871681,18.070678023884575,112.91989757904199,127.2939072773497,LOS,LOS,False,0.0,
40,65.08691008512531,60.729363997143224,38.83152518918891,21.897838807954315,111.67063849089065,129.4725917073702,LOS,LOS,False,0.0,
