time_min,distance_m,snr_140_db,snr_220_db,snr_gap_db,pl_140_db,pl_220_db,state_140,state_220,is_raining,rain_rate,fog_visibility_m
0,100.94316143278711,56.93928133160219,48.74567013337011,8.193611198232077,115.50933309909597,119.99890607998174,LOS,LOS,False,0.0,
1,101.88468674754345,55.87452586496931,47.76796232146097,8.106563543508337,115.62144491873866,121.57908703653295,LOS,LOS,False,0.0,
2,102.93479918151948,55.66571697527529,49.0887003908099,6.57701658446539,115.75992525555375,119.82807927750949,LOS,LOS,False,0.0,
3,103.94515676539065,56.303870155094565,48.83650635913403,7.467363795960537,115.7624844647938,119.91706817854768,LOS,LOS,False,0.0,
4,104.91245409318996,56.22660855069837,50.018528828803966,6.208079721894407,115.83134176297628,120.11137855811134,LOS,LOS,False,0.0,
5,105.88755528228758,55.693706332334614,47.8974947114137,7.796211620920914,115.93858349124328,120.59348621456425,LOS,LOS,False,0.0,
6,106.891207657944,56.29426745842301,46.51300588097392,9.781261577449087,116.01661409748176,122.42238444542454,LOS,LOS,False,0.0,
7,107.9830114261652,55.44657987999889,48.5988037663352,6.847776113663691,116.12180598710324,120.42809468337865,LOS,LOS,False,0.0,
8,109.05843712732052,55.23139134975331,48.32550705639616,6.905884293357147,116.3613779526132,120.34708000071198,LOS,LOS,False,0.0,
9,110.14886303854155,54.97343709756487,48.059706589596445,6.913730507968424,116.3078929447741,120.59851377353317,LOS,LOS,False,0.0,
10,111.20544384046062,56.40105727726927,49.631570897590926,6.769486379678341,116.34857778851509,120.5850603172842,LOS,LOS,False,0.0,
11,112.24266387688344,55.66970634681334,50.43397295679595,5.235733390017394,116.43184913380328,120.69512714984432,LOS,LOS,False,0.0,
12,113.26423232973758,54.525571948729706,49.543242929438094,4.982329019291612,116.64586559991396,121.09780841023444,LOS,LOS,False,0.0,
13,114.33311013538261,55.38897495090475,48.252488463980846,7.136486486923907,116.6594146055022,120.78240862090134,LOS,LOS,False,0.0,
14,115.39749884599206,55.53665644568591,47.36996651356474,8.166689932121166,116.6817344699356,121.3008313178651,LOS,LOS,False,0.0,
15,116.48287645488945,55.00297631448284,48.23223004121208,6.77074627327076,116.84911508437149,121.61099558112187,LOS,LOS,False,0.0,
16,117.58983373505794,54.06197217081571,48.1257495380966,5.936222632719108,116.84364696993138,121.08378305656616,LOS,LOS,False,0.0,
17,118.70961398743151,54.92265491244344,49.36899812043344,5.553656792010003,117.3621869025643,121.01247937244469,LOS,LOS,False,0.0,
18,119.700317958432,56.10075567806061,47.39068965645839,8.710066021602216,116.99674545965303,121.46131706357536,LOS,LOS,False,0.0,
19,120.69526141908231,55.23443067680314,47.48715099735078,7.747279679452362,117.05480873207004,121.29732578248775,LOS,LOS,False,0.0,
20,121.69004726485441,55.07803482775039,48.56552549734997,6.512509330400427,117.12764114977607,121.88756856064488,LOS,LOS,False,0.0,
21,122.63392084993815,55.42295270807729,48.1563049386124,7.266647769464889,117.40728981094072,121.4305651464399,LOS,LOS,False,0.0,
22,123.50942667415877,55.18666976466511,48.30870376337387,6.877966001291242,117.26777962637837,121.69235074668961,LOS,LOS,False,0.0,
23,124.44613463906848,55.32027690178268,46.83508291376777,8.485193988014906,117.32242343225,121.50420995669361,LOS,LOS,False,0.0,
24,125.43673016176359,55.806622328449876,46.77572455257854,9.030897775871338,117.52518547123903,121.55135355562432,LOS,LOS,False,0.0,
25,126.423270195231,54.663434074355806,46.863235380707074,7.800198693648731,117.62522935688361,122.429835826368,LOS,LOS,False,0.0,
26,127.38153774348692,54.84226987277195,48.308024785240626,6.534245087531325,117.56038026816898,122.18787811013206,LOS,LOS,False,0.0,
27,128.33880985838735,52.73283110458469,46.64994888900412,6.082882215580568,117.71300637274125,121.69956312950407,LOS,LOS,False,0.0,
28,129.21243534708054,54.32765546184886,46.835580466457614,7.492074995391249,117.80447519615697,122.18090180394749,LOS,LOS,False,0.0,
29,130.07271228334605,54.72185254751392,48.690242647818906,6.031609899695013,117.76425770514089,121.87330831170192,LOS,LOS,False,0.0,
